,smiles
0,O=P(O)(O)
1,O=C
2,O=C
3,O=P(=O)(O)O
4,P(O)(O)C
5,P(O)(O)C
6,P(O)(O)P(=O)(O)O
7,CN(P(=O)(O)O)
8,CN(P(=O)(O)O)
9,Cc1cccc(n1)
10,CN(CP(=O)(O)O)
11,CN(CP(=O)(O)O)
12,CC
13,CP(=O)(O)O
14,CP(=O)(O)O
15,O=P(O)(O)C
16,O=P(O)(O)C
17,O=P(O)(O)P(=O)(O)O
18,O=CN(P(=O)(O)O)
19,O=CN(P(=O)(O)O)
20,O=Cc1cccc(n1)
21,O=CN(CP(=O)(O)O)
22,O=CN(CP(=O)(O)O)
23,O=CC
24,O=CP(=O)(O)O
25,O=CP(=O)(O)O
26,P(O)(O)CN(P(=O)(O)O)
27,P(O)(O)CN(P(=O)(O)O)
28,P(O)(O)Cc1cccc(n1)
29,P(O)(O)CN(CP(=O)(O)O)
30,P(O)(O)CN(CP(=O)(O)O)
31,P(O)(O)CC
32,P(O)(O)CP(=O)(O)O
33,P(O)(O)CP(=O)(O)O
34,CN(P(=O)(O)O)C
35,CN(P(=O)(O)O)C
36,CN(P(=O)(O)O)P(=O)(O)O
37,CN(CP(=O)(O)O)
38,CN(P(=O)(O)O)C
39,CN(P(=O)(O)O)P(=O)(O)O
40,Cc1cccc(Cn1)
41,Cc1cccc(n1)C
42,Cc1cccc(n1)P(=O)(O)O
43,CN(CP(=O)(O)O)C
44,CN(CP(=O)(O)O)C
45,CN(CP(=O)(O)O)P(=O)(O)O
46,CN(CCP(=O)(O)O)
47,CN(CP(=O)(O)O)C
48,CN(CP(=O)(O)O)P(=O)(O)O
49,CCP(=O)(O)O
50,O=P(O)(O)CN(P(=O)(O)O)
51,O=P(O)(O)CN(P(=O)(O)O)
52,O=P(O)(O)Cc1cccc(n1)
53,O=P(O)(O)CN(CP(=O)(O)O)
54,O=P(O)(O)CN(CP(=O)(O)O)
55,O=P(O)(O)CC
56,O=P(O)(O)CP(=O)(O)O
57,O=P(O)(O)CP(=O)(O)O
58,O=CN(P(=O)(O)O)C
59,O=CN(P(=O)(O)O)C
60,O=CN(P(=O)(O)O)P(=O)(O)O
61,O=CN(CP(=O)(O)O)
62,O=CN(P(=O)(O)O)C
63,O=CN(P(=O)(O)O)P(=O)(O)O
64,O=Cc1cccc(Cn1)
65,O=Cc1cccc(n1)C
66,O=Cc1cccc(n1)P(=O)(O)O
67,O=CN(CP(=O)(O)O)C
68,O=CN(CP(=O)(O)O)C
69,O=CN(CP(=O)(O)O)P(=O)(O)O
70,O=CN(CCP(=O)(O)O)
71,O=CN(CP(=O)(O)O)C
72,O=CN(CP(=O)(O)O)P(=O)(O)O
73,O=CCP(=O)(O)O
74,P(O)(O)CN(P(=O)(O)O)C
75,P(O)(O)CN(P(=O)(O)O)C
76,P(O)(O)CN(P(=O)(O)O)P(=O)(O)O
77,P(O)(O)CN(CP(=O)(O)O)
78,P(O)(O)CN(P(=O)(O)O)C
79,P(O)(O)CN(P(=O)(O)O)P(=O)(O)O
80,P(O)(O)Cc1cccc(Cn1)
81,P(O)(O)Cc1cccc(n1)C
82,P(O)(O)Cc1cccc(n1)P(=O)(O)O
83,P(O)(O)CN(CP(=O)(O)O)C
84,P(O)(O)CN(CP(=O)(O)O)C
85,P(O)(O)CN(CP(=O)(O)O)P(=O)(O)O
86,P(O)(O)CN(CCP(=O)(O)O)
87,P(O)(O)CN(CP(=O)(O)O)C
88,P(O)(O)CN(CP(=O)(O)O)P(=O)(O)O
89,P(O)(O)CCP(=O)(O)O
90,CN(Cc1cccc(P(=O)(O)O)n1)
91,CN(Cc1cccc(P(=O)(O)O)n1)
92,CN(CN(CP(=O)(O)O)P(=O)(O)O)
93,CN(P(=O)(O)O)CC
94,CN(P(=O)(O)O)CP(=O)(O)O
95,CN(P(=O)(O)O)CP(=O)(O)O
96,CN(CP(=O)(O)O)C
97,CN(CP(=O)(O)O)P(=O)(O)O
98,CN(P(=O)(O)O)CP(=O)(O)O
99,Cc1cccc(CN(CP(=O)(O)O)n1)
100,Cc1cccc(CN(CP(=O)(O)O)n1)
101,Cc1cccc(Cn1)C
102,Cc1cccc(Cn1)P(=O)(O)O
103,Cc1cccc(n1)CP(=O)(O)O
104,CN(CP(=O)(O)O)CC
105,CN(CP(=O)(O)O)CP(=O)(O)O
106,CN(CP(=O)(O)O)CP(=O)(O)O
107,CN(CCP(=O)(O)O)C
108,CN(CCP(=O)(O)O)P(=O)(O)O
109,CN(CP(=O)(O)O)CP(=O)(O)O
110,O=P(O)(O)CN(P(=O)(O)O)C
111,O=P(O)(O)CN(P(=O)(O)O)C
112,O=P(O)(O)CN(P(=O)(O)O)P(=O)(O)O
113,O=P(O)(O)CN(CP(=O)(O)O)
114,O=P(O)(O)CN(P(=O)(O)O)C
115,O=P(O)(O)CN(P(=O)(O)O)P(=O)(O)O
116,O=P(O)(O)Cc1cccc(Cn1)
117,O=P(O)(O)Cc1cccc(n1)C
118,O=P(O)(O)Cc1cccc(n1)P(=O)(O)O
119,O=P(O)(O)CN(CP(=O)(O)O)C
120,O=P(O)(O)CN(CP(=O)(O)O)C
121,O=P(O)(O)CN(CP(=O)(O)O)P(=O)(O)O
122,O=P(O)(O)CN(CCP(=O)(O)O)
123,O=P(O)(O)CN(CP(=O)(O)O)C
124,O=P(O)(O)CN(CP(=O)(O)O)P(=O)(O)O
125,O=P(O)(O)CCP(=O)(O)O
126,O=CN(Cc1cccc(P(=O)(O)O)n1)
127,O=CN(Cc1cccc(P(=O)(O)O)n1)
128,O=CN(CN(CP(=O)(O)O)P(=O)(O)O)
129,O=CN(P(=O)(O)O)CC
130,O=CN(P(=O)(O)O)CP(=O)(O)O
131,O=CN(P(=O)(O)O)CP(=O)(O)O
132,O=CN(CP(=O)(O)O)C
133,O=CN(CP(=O)(O)O)P(=O)(O)O
134,O=CN(P(=O)(O)O)CP(=O)(O)O
135,O=Cc1cccc(CN(CP(=O)(O)O)n1)
136,O=Cc1cccc(CN(CP(=O)(O)O)n1)
137,O=Cc1cccc(Cn1)C
138,O=Cc1cccc(Cn1)P(=O)(O)O
139,O=Cc1cccc(n1)CP(=O)(O)O
140,O=CN(CP(=O)(O)O)CC
141,O=CN(CP(=O)(O)O)CP(=O)(O)O
142,O=CN(CP(=O)(O)O)CP(=O)(O)O
143,O=CN(CCP(=O)(O)O)C
144,O=CN(CCP(=O)(O)O)P(=O)(O)O
145,O=CN(CP(=O)(O)O)CP(=O)(O)O
146,P(O)(O)CN(Cc1cccc(P(=O)(O)O)n1)
147,P(O)(O)CN(Cc1cccc(P(=O)(O)O)n1)
148,P(O)(O)CN(CN(CP(=O)(O)O)P(=O)(O)O)
149,P(O)(O)CN(P(=O)(O)O)CC
150,P(O)(O)CN(P(=O)(O)O)CP(=O)(O)O
151,P(O)(O)CN(P(=O)(O)O)CP(=O)(O)O
152,P(O)(O)CN(CP(=O)(O)O)C
153,P(O)(O)CN(CP(=O)(O)O)P(=O)(O)O
154,P(O)(O)CN(P(=O)(O)O)CP(=O)(O)O
155,P(O)(O)Cc1cccc(CN(CP(=O)(O)O)n1)
156,P(O)(O)Cc1cccc(CN(CP(=O)(O)O)n1)
157,P(O)(O)Cc1cccc(Cn1)C
158,P(O)(O)Cc1cccc(Cn1)P(=O)(O)O
159,P(O)(O)Cc1cccc(n1)CP(=O)(O)O
160,P(O)(O)CN(CP(=O)(O)O)CC
161,P(O)(O)CN(CP(=O)(O)O)CP(=O)(O)O
162,P(O)(O)CN(CP(=O)(O)O)CP(=O)(O)O
163,P(O)(O)CN(CCP(=O)(O)O)C
164,P(O)(O)CN(CCP(=O)(O)O)P(=O)(O)O
165,P(O)(O)CN(CP(=O)(O)O)CP(=O)(O)O
166,CN(Cc1cccc(P(=O)(O)O)Cn1)
167,CN(Cc1cccc(P(=O)(O)O)n1)C
